dataset,method,seed,rounds,final_accuracy,fpr,rho_samples_norm_median,rho_samples_norm_valid_rounds,rho_samples_norm_round0,rho_samples_reject_median,rho_samples_reject_valid_rounds,rho_samples_reject_round0,rho_samples_norm_nonfloor_median,rho_samples_norm_nonfloor_valid_rounds,rho_samples_norm_nonfloor_round0,rho_samples_reject_nonfloor_median,rho_samples_reject_nonfloor_valid_rounds,rho_samples_reject_nonfloor_round0,rho_entropy_norm_median,rho_entropy_norm_valid_rounds,rho_entropy_norm_round0,rho_samples_entropy_median,rho_samples_entropy_valid_rounds,rho_samples_entropy_round0,quartile_gap_median,quartile_gap_valid_rounds,quartile_gap_round0,floor_n,floor_fp,floor_fpr,nonfloor_n,nonfloor_fp,nonfloor_fpr
har,krum_bound30,42,30,0.3834407872412623,0.32222222222222224,0.5046388478484252,30,0.1111212081127386,0.47063463295021535,30,0.4142400445592706,-0.07692308717410676,30,0.0792079687225004,-0.24481789729006764,30,-0.28100074799030694,0.11699158889787381,30,-0.41922990408123273,-0.037527936080386064,30,-0.05806261639856116,0.6015151515151516,30,0.51,2189,466,0.21288259479214253,511,404,0.7906066536203522
har,mdbg_l0_only,137,30,0.34543603664743805,0.0,0.2665022954620807,30,-0.30489898148690137,,0,,-0.11238390092879257,30,0.035714285714285705,,0,,-0.14209564577587816,30,-0.5733780157693449,0.1397535649817097,30,0.13169811152094732,0.0,30,0.0,2164,0,0.0,536,0,0.0
har,mdbg_l0_only,2024,30,0.47336274177129284,0.0,0.26639951868527467,30,-0.03722050923798113,,0,,0.057273618829682904,30,0.2749858836815359,,0,,-0.18708863783704963,30,-0.4867941850245425,-0.11825277587103374,30,-0.10504461503677524,0.0,30,0.0,2021,0,0.0,679,0,0.0
har,mdbg_l0_only,42,30,0.4129623345775365,0.02777777777777778,0.5168769829125068,30,0.1111212081127386,0.5897266113073502,10,,-0.08215820060481459,30,0.0792079687225004,-0.04461237074304722,10,,-0.1174674238258779,30,-0.41922990408123273,-0.037527936080386064,30,-0.05806261639856116,0.0,30,0.0,2189,6,0.002740977615349475,511,69,0.1350293542074364
mnist,fed_mdbscan_g,137,30,0.2134,0.4103703703703704,0.6783164852199002,30,0.42850513283167385,0.7361697258323356,30,0.533879706866209,0.07871484845169055,30,-0.4385017421602789,0.17594003513258186,30,-0.12784184532056,-0.3426333381610953,30,-0.9327184706960393,-0.5371718465977244,30,-0.5320360828059001,0.7371428571428571,30,0.43478260869565216,1512,130,0.08597883597883597,1188,978,0.8232323232323232
mnist,fed_mdbscan_g,2024,30,0.5125,0.22740740740740742,0.649471306076222,30,0.6203104276930959,0.534483357320196,27,,-0.10047793600425178,30,-0.05882352941176472,-0.046464649976355535,27,,-0.508095925860836,30,-0.9114276895664172,-0.673204772424352,30,-0.6876180693441408,0.38370129870129865,30,0.0,1587,74,0.04662885948330183,1113,540,0.48517520215633425
mnist,fed_mdbscan_g,42,30,0.2595,0.4103703703703704,0.6781295381792825,30,0.02497181989259852,0.7478902944991944,29,,0.05623759171586601,30,-0.06445047502081501,0.10805699404279749,29,,-0.5329528024697896,30,-0.6092633431159115,-0.6172935884682027,30,-0.6107418417505369,0.7840909090909091,30,0.0,1457,101,0.06932052161976665,1243,1007,0.8101367658889783
mnist,fedavg,137,30,0.6441,0.0,0.6913622975646072,30,0.42850513283167385,,0,,0.1052347053780018,30,-0.4385017421602789,,0,,-0.4568437251391267,30,-0.9327184706960393,-0.5371718465977244,30,-0.5320360828059001,0.0,30,0.0,1512,0,0.0,1188,0,0.0
mnist,fedavg,2024,30,0.764,0.0,0.6831537548429383,30,0.6203104276930959,,0,,-0.05780655625856865,30,-0.05882352941176472,,0,,-0.5855282623828559,30,-0.9114276895664172,-0.673204772424352,30,-0.6876180693441408,0.0,30,0.0,1587,0,0.0,1113,0,0.0
mnist,fedavg,42,30,0.7665,0.0,0.7001203130473215,30,0.02497181989259852,,0,,0.03356488837325013,30,-0.06445047502081501,,0,,-0.6098892919598571,30,-0.6092633431159115,-0.6172935884682027,30,-0.6107418417505369,0.0,30,0.0,1457,0,0.0,1243,0,0.0
