dataset,method,seed,round,n,norm_missing,fpr,accuracy,floor_n,floor_fp,nonfloor_n,nonfloor_fp,rho_samples_norm,rho_samples_reject,rho_entropy_norm,rho_samples_entropy,rho_samples_norm_nonfloor,rho_samples_reject_nonfloor,accepted_mass_fraction,quartile_gap
har,flame_hdbscan,137,16,90,0,0.3333333333333333,0.18052256532066507,71,15,19,15,0.3405325177180324,0.4997355594672755,-0.010432195283417869,0.17504222685922316,-0.17719298245614035,0.07071067811865475,0.34569952011812477,0.6749482401656315
har,flame_hdbscan,137,17,90,0,0.3333333333333333,0.18052256532066507,72,16,18,14,0.4327028552517867,0.4662376980912804,-0.03846822566308586,0.10553148510133696,0.04437564499484004,-0.02575700417444659,0.3947619957943032,0.6403162055335969
har,flame_hdbscan,137,18,90,0,0.3333333333333333,0.18052256532066507,74,17,16,13,0.32628915283611204,0.4757855078900172,-0.007682282346198297,0.0656053588522346,0.07647058823529412,0.15631503171567185,0.3489583333333333,0.6785714285714285
har,flame_hdbscan,137,19,90,0,0.32222222222222224,0.18052256532066507,74,17,16,12,0.3206817913633437,0.41333564676829543,0.019224710801814683,0.17533228074820617,-0.08823529411764705,-0.21917850187980234,0.4170337738619677,0.6309523809523809
har,flame_hdbscan,137,20,90,0,0.32222222222222224,0.18052256532066507,73,16,17,13,0.41873461985794375,0.4428959229151993,0.06725790810870796,0.11073071270573293,0.012254901960784315,-0.22645540682891915,0.4061295650578088,0.6273291925465838
har,flame_hdbscan,137,21,90,0,0.3,0.1835765184933831,73,15,17,12,0.25409011027964973,0.4202300436440248,-0.06221742446083258,0.13007033482281952,-0.09803921568627452,-0.0790569415042095,0.4460445468509985,0.5984848484848484
har,flame_hdbscan,137,22,90,0,0.3333333333333333,0.18052256532066507,72,17,18,13,0.40300998715183567,0.40584757842207553,0.03970214783146664,0.17643595608810939,-0.07120743034055728,-0.05976854619341832,0.41348437785492415,0.6123188405797101
har,flame_hdbscan,137,23,90,0,0.34444444444444444,0.18052256532066507,74,17,16,14,0.31148028410076123,0.5158896229961203,0.1484565189970407,0.13727332208852344,-0.2529411764705882,0.0,0.3116397955171058,0.7142857142857143
har,flame_hdbscan,137,24,90,0,0.3333333333333333,0.18052256532066507,73,17,17,13,0.4116715391395777,0.43840128895482394,0.030019401696952577,0.09467865734874799,0.07352941176470588,0.0,0.3914691943127962,0.6709956709956709
har,flame_hdbscan,137,25,90,0,0.3333333333333333,0.16762809636918902,72,16,18,14,0.3823192425552031,0.4727312593460336,0.1737852929394151,0.17077883796284324,0.005159958720330237,0.10302801669778636,0.3536423841059603,0.6785714285714285
