dataset,scenario,mode,method,seed,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,fallback_rounds,l0_rejections,asr,extra_rejections,floor_honest_n,floor_honest_rejected,floor_fpr,above_floor_honest_n,above_floor_honest_rejected,above_floor_fpr
mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,137,0.8767,0.8725400000000001,0.8742276149152582,0.0,,0.0,0,0,0.015631929046563194,0,165,0,0.0,2535,0,0.0
mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,2024,0.8722,0.87002,0.8699311355291097,0.0,,0.0,0,0,0.01197339246119734,0,104,0,0.0,2596,0,0.0
mnist,cut_backdoor,clean,mdbg_l0_only,42,0.872,0.8739399999999999,0.8699068160728537,0.0,,0.0,0,0,0.008093126385809312,0,114,0,0.0,2586,0,0.0
mnist,cut_backdoor,clean,mdbg_l0_only,137,0.8767,0.8725400000000001,0.8742276149152582,0.0,,0.0,0,0,0.015631929046563194,0,165,0,0.0,2535,0,0.0
mnist,cut_backdoor,clean,mdbg_l0_only,2024,0.8722,0.87002,0.8699311355291097,0.0,,0.0,0,0,0.01197339246119734,0,104,0,0.0,2596,0,0.0
mnist,cut_backdoor,clean,fedavg,42,0.872,0.8739399999999999,0.8699068160728537,0.0,,0.0,0,0,0.008093126385809312,0,114,0,0.0,2586,0,0.0
mnist,cut_backdoor,clean,fedavg,137,0.8767,0.8725400000000001,0.8742276149152582,0.0,,0.0,0,0,0.015631929046563194,0,165,0,0.0,2535,0,0.0
mnist,cut_backdoor,clean,fedavg,2024,0.8722,0.87002,0.8699311355291097,0.0,,0.0,0,0,0.01197339246119734,0,104,0,0.0,2596,0,0.0
mnist,cut_backdoor,attacked,fed_mdbscan_g,42,0.8695,0.8701800000000001,0.8672100998751032,0.0,0.0,0.0,0,0,0.7677383592017738,0,84,0,0.0,2076,0,0.0
mnist,cut_backdoor,attacked,fed_mdbscan_g,137,0.8732,0.8682399999999999,0.8704774636587945,0.0,0.0,0.0,0,0,0.685920177383592,0,75,0,0.0,2085,0,0.0
mnist,cut_backdoor,attacked,fed_mdbscan_g,2024,0.8704,0.86704,0.8679179828646207,0.0,0.0,0.0,0,0,0.7114190687361419,0,74,0,0.0,2086,0,0.0
mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,42,0.8695,0.8701800000000001,0.8672100998751032,0.0,0.0,0.0,0,0,0.7677383592017738,0,84,0,0.0,2076,0,0.0
mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,137,0.8732,0.8682399999999999,0.8704774636587945,0.0,0.0,0.0,0,0,0.685920177383592,0,75,0,0.0,2085,0,0.0
mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,2024,0.8704,0.86704,0.8679179828646207,0.0,0.0,0.0,0,0,0.7114190687361419,0,74,0,0.0,2086,0,0.0
mnist,cut_backdoor,attacked,mdbg_l0_only,42,0.8695,0.8701800000000001,0.8672100998751032,0.0,0.0,0.0,0,0,0.7677383592017738,0,84,0,0.0,2076,0,0.0
mnist,cut_backdoor,attacked,mdbg_l0_only,137,0.8732,0.8682399999999999,0.8704774636587945,0.0,0.0,0.0,0,0,0.685920177383592,0,75,0,0.0,2085,0,0.0
mnist,cut_backdoor,attacked,mdbg_l0_only,2024,0.8704,0.86704,0.8679179828646207,0.0,0.0,0.0,0,0,0.7114190687361419,0,74,0,0.0,2086,0,0.0
mnist,cut_backdoor,attacked,fedavg,42,0.8695,0.8701800000000001,0.8672100998751032,0.0,0.0,0.0,0,0,0.7677383592017738,0,84,0,0.0,2076,0,0.0
mnist,cut_backdoor,attacked,fedavg,137,0.8732,0.8682399999999999,0.8704774636587945,0.0,0.0,0.0,0,0,0.685920177383592,0,75,0,0.0,2085,0,0.0
mnist,cut_backdoor,attacked,fedavg,2024,0.8704,0.86704,0.8679179828646207,0.0,0.0,0.0,0,0,0.7114190687361419,0,74,0,0.0,2086,0,0.0
fashion_mnist,cut_gaussian,clean,fed_mdbscan_g,42,0.1998,0.1998,0.1998,0.39296296296296296,,0.9333333333333333,4,1061,,0,1507,115,0.07631055076310551,1193,946,0.7929589270746018
fashion_mnist,cut_gaussian,clean,fed_mdbscan_g,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_gaussian,clean,fed_mdbscan_g,2024,0.5358,0.53742,0.5358,0.09148148148148148,,0.6,0,219,,28,1621,38,0.023442319555829736,1079,209,0.1936978683966636
fashion_mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,42,0.1998,0.1998,0.1998,0.39814814814814814,,0.9333333333333333,23,1062,,13,1507,126,0.0836098208360982,1193,949,0.7954735959765298
fashion_mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,2024,0.5402,0.53954,0.5402,0.08296296296296296,,0.6,0,222,,2,1621,39,0.024059222702035782,1079,185,0.17145505097312327
fashion_mnist,cut_gaussian,clean,mdbg_l0_only,42,0.1998,0.1998,0.1998,0.39296296296296296,,0.9333333333333333,0,1061,,0,1507,115,0.07631055076310551,1193,946,0.7929589270746018
fashion_mnist,cut_gaussian,clean,mdbg_l0_only,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_gaussian,clean,mdbg_l0_only,2024,0.5402,0.5395800000000001,0.5402,0.08222222222222222,,0.6,0,222,,0,1621,38,0.023442319555829736,1079,184,0.1705282669138091
fashion_mnist,cut_gaussian,clean,fedavg,42,0.6061,0.60154,0.6061,0.0,,0.0,0,0,,0,1507,0,0.0,1193,0,0.0
fashion_mnist,cut_gaussian,clean,fedavg,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_gaussian,clean,fedavg,2024,0.6473,0.6440400000000001,0.6473000000000001,0.0,,0.0,0,0,,0,1621,0,0.0,1079,0,0.0
fashion_mnist,cut_gaussian,attacked,fed_mdbscan_g,42,0.5939,0.56342,0.5939,0.12361111111111112,1.0,1.0,0,551,,256,1177,14,0.0118946474086661,983,253,0.25737538148524924
fashion_mnist,cut_gaussian,attacked,fed_mdbscan_g,137,0.6733,0.6579,0.6732999999999999,0.0,1.0,1.0,0,540,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_gaussian,attacked,fed_mdbscan_g,2024,0.5811,0.57624,0.5811,0.06620370370370371,1.0,1.0,0,636,,47,1321,23,0.0174110522331567,839,120,0.1430274135876043
fashion_mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,42,0.5879,0.5656399999999999,0.5879,0.02638888888888889,1.0,1.0,27,551,,46,1177,5,0.004248088360237893,983,52,0.052899287894201424
fashion_mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,137,0.6733,0.6579,0.6732999999999999,0.0,1.0,1.0,20,540,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,2024,0.6393,0.6303799999999999,0.6393,0.010648148148148148,1.0,1.0,24,563,,0,1321,0,0.0,839,23,0.027413587604290822
fashion_mnist,cut_gaussian,attacked,mdbg_l0_only,42,0.5911,0.5845,0.5911000000000001,0.003703703703703704,1.0,1.0,0,548,,0,1177,0,0.0,983,8,0.008138351983723296
fashion_mnist,cut_gaussian,attacked,mdbg_l0_only,137,0.6733,0.6579,0.6732999999999999,0.0,1.0,1.0,0,540,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_gaussian,attacked,mdbg_l0_only,2024,0.6393,0.6303799999999999,0.6393,0.010648148148148148,1.0,1.0,0,563,,0,1321,0,0.0,839,23,0.027413587604290822
fashion_mnist,cut_gaussian,attacked,fedavg,42,0.5152,0.46731999999999996,0.5152,0.0,0.0,0.0,0,0,,0,1177,0,0.0,983,0,0.0
fashion_mnist,cut_gaussian,attacked,fedavg,137,0.5106,0.48642,0.5106,0.0,0.0,0.0,0,0,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_gaussian,attacked,fedavg,2024,0.5133,0.51158,0.5133,0.0,0.0,0.0,0,0,,0,1321,0,0.0,839,0,0.0
fashion_mnist,cut_minmax,clean,fed_mdbscan_g,42,0.1998,0.1998,0.1998,0.39296296296296296,,0.9333333333333333,4,1061,,0,1507,115,0.07631055076310551,1193,946,0.7929589270746018
fashion_mnist,cut_minmax,clean,fed_mdbscan_g,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_minmax,clean,fed_mdbscan_g,2024,0.5358,0.53742,0.5358,0.09148148148148148,,0.6,0,219,,28,1621,38,0.023442319555829736,1079,209,0.1936978683966636
fashion_mnist,cut_minmax,clean,mdbg_no_snnc_cutoff,42,0.1998,0.1998,0.1998,0.39814814814814814,,0.9333333333333333,23,1062,,13,1507,126,0.0836098208360982,1193,949,0.7954735959765298
fashion_mnist,cut_minmax,clean,mdbg_no_snnc_cutoff,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_minmax,clean,mdbg_no_snnc_cutoff,2024,0.5402,0.53954,0.5402,0.08296296296296296,,0.6,0,222,,2,1621,39,0.024059222702035782,1079,185,0.17145505097312327
fashion_mnist,cut_minmax,clean,mdbg_l0_only,42,0.1998,0.1998,0.1998,0.39296296296296296,,0.9333333333333333,0,1061,,0,1507,115,0.07631055076310551,1193,946,0.7929589270746018
fashion_mnist,cut_minmax,clean,mdbg_l0_only,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_minmax,clean,mdbg_l0_only,2024,0.5402,0.5395800000000001,0.5402,0.08222222222222222,,0.6,0,222,,0,1621,38,0.023442319555829736,1079,184,0.1705282669138091
fashion_mnist,cut_minmax,clean,fedavg,42,0.6061,0.60154,0.6061,0.0,,0.0,0,0,,0,1507,0,0.0,1193,0,0.0
fashion_mnist,cut_minmax,clean,fedavg,137,0.6887,0.67662,0.6887,0.0,,0.0,0,0,,0,1567,0,0.0,1133,0,0.0
fashion_mnist,cut_minmax,clean,fedavg,2024,0.6473,0.6440400000000001,0.6473000000000001,0.0,,0.0,0,0,,0,1621,0,0.0,1079,0,0.0
fashion_mnist,cut_minmax,attacked,fed_mdbscan_g,42,0.2062,0.207,0.20620000000000002,0.0,0.0,0.0,0,0,,0,1177,0,0.0,983,0,0.0
fashion_mnist,cut_minmax,attacked,fed_mdbscan_g,137,0.2994,0.29037999999999997,0.2994,0.0,0.0,0.0,0,0,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_minmax,attacked,fed_mdbscan_g,2024,0.3154,0.3155,0.3154,0.0,0.0,0.0,0,0,,0,1321,0,0.0,839,0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,42,0.2062,0.207,0.20620000000000002,0.0,0.0,0.0,0,0,,0,1177,0,0.0,983,0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,137,0.2994,0.29037999999999997,0.2994,0.0,0.0,0.0,0,0,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,2024,0.3154,0.3155,0.3154,0.0,0.0,0.0,0,0,,0,1321,0,0.0,839,0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_l0_only,42,0.2062,0.207,0.20620000000000002,0.0,0.0,0.0,0,0,,0,1177,0,0.0,983,0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_l0_only,137,0.2994,0.29037999999999997,0.2994,0.0,0.0,0.0,0,0,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_l0_only,2024,0.3154,0.3155,0.3154,0.0,0.0,0.0,0,0,,0,1321,0,0.0,839,0,0.0
fashion_mnist,cut_minmax,attacked,fedavg,42,0.2062,0.207,0.20620000000000002,0.0,0.0,0.0,0,0,,0,1177,0,0.0,983,0,0.0
fashion_mnist,cut_minmax,attacked,fedavg,137,0.2994,0.29037999999999997,0.2994,0.0,0.0,0.0,0,0,,0,1267,0,0.0,893,0,0.0
fashion_mnist,cut_minmax,attacked,fedavg,2024,0.3154,0.3155,0.3154,0.0,0.0,0.0,0,0,,0,1321,0,0.0,839,0,0.0
fashion_mnist,cut_backdoor,clean,fed_mdbscan_g,42,0.7566,0.75794,0.7566,0.0,,0.0,0,0,0.027555555555555555,0,82,0,0.0,2618,0,0.0
fashion_mnist,cut_backdoor,clean,fed_mdbscan_g,137,0.7625,0.75812,0.7625,0.0,,0.0,0,0,0.04755555555555555,0,106,0,0.0,2594,0,0.0
fashion_mnist,cut_backdoor,clean,fed_mdbscan_g,2024,0.755,0.75774,0.755,0.00037037037037037035,,0.0,0,1,0.05577777777777778,0,134,0,0.0,2566,1,0.0003897116134060795
fashion_mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,42,0.7566,0.75794,0.7566,0.0,,0.0,0,0,0.027555555555555555,0,82,0,0.0,2618,0,0.0
fashion_mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,137,0.7625,0.75812,0.7625,0.0,,0.0,0,0,0.04755555555555555,0,106,0,0.0,2594,0,0.0
fashion_mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,2024,0.755,0.75774,0.755,0.00037037037037037035,,0.0,0,1,0.05577777777777778,0,134,0,0.0,2566,1,0.0003897116134060795
fashion_mnist,cut_backdoor,clean,mdbg_l0_only,42,0.7566,0.75794,0.7566,0.0,,0.0,0,0,0.027555555555555555,0,82,0,0.0,2618,0,0.0
fashion_mnist,cut_backdoor,clean,mdbg_l0_only,137,0.7625,0.75812,0.7625,0.0,,0.0,0,0,0.04755555555555555,0,106,0,0.0,2594,0,0.0
fashion_mnist,cut_backdoor,clean,mdbg_l0_only,2024,0.755,0.75774,0.755,0.00037037037037037035,,0.0,0,1,0.05577777777777778,0,134,0,0.0,2566,1,0.0003897116134060795
fashion_mnist,cut_backdoor,clean,fedavg,42,0.7566,0.75794,0.7566,0.0,,0.0,0,0,0.027555555555555555,0,82,0,0.0,2618,0,0.0
fashion_mnist,cut_backdoor,clean,fedavg,137,0.7625,0.75812,0.7625,0.0,,0.0,0,0,0.04755555555555555,0,106,0,0.0,2594,0,0.0
fashion_mnist,cut_backdoor,clean,fedavg,2024,0.7583,0.7584,0.7583,0.0,,0.0,0,0,0.05322222222222222,0,134,0,0.0,2566,0,0.0
fashion_mnist,cut_backdoor,attacked,fed_mdbscan_g,42,0.7529,0.75326,0.7529,0.0,0.0,0.0,0,0,0.5527777777777778,0,82,0,0.0,2078,0,0.0
fashion_mnist,cut_backdoor,attacked,fed_mdbscan_g,137,0.7601,0.7555400000000001,0.7600999999999999,0.0,0.0,0.0,0,0,0.5383333333333333,0,76,0,0.0,2084,0,0.0
fashion_mnist,cut_backdoor,attacked,fed_mdbscan_g,2024,0.75,0.7522,0.75,0.0,0.0,0.0,0,0,0.48633333333333334,0,104,0,0.0,2056,0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,42,0.7529,0.75326,0.7529,0.0,0.0,0.0,0,0,0.5527777777777778,0,82,0,0.0,2078,0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,137,0.7601,0.7555400000000001,0.7600999999999999,0.0,0.0,0.0,0,0,0.5383333333333333,0,76,0,0.0,2084,0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,2024,0.75,0.7522,0.75,0.0,0.0,0.0,0,0,0.48633333333333334,0,104,0,0.0,2056,0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_l0_only,42,0.7529,0.75326,0.7529,0.0,0.0,0.0,0,0,0.5527777777777778,0,82,0,0.0,2078,0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_l0_only,137,0.7601,0.7555400000000001,0.7600999999999999,0.0,0.0,0.0,0,0,0.5383333333333333,0,76,0,0.0,2084,0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_l0_only,2024,0.75,0.7522,0.75,0.0,0.0,0.0,0,0,0.48633333333333334,0,104,0,0.0,2056,0,0.0
fashion_mnist,cut_backdoor,attacked,fedavg,42,0.7529,0.75326,0.7529,0.0,0.0,0.0,0,0,0.5527777777777778,0,82,0,0.0,2078,0,0.0
fashion_mnist,cut_backdoor,attacked,fedavg,137,0.7601,0.7555400000000001,0.7600999999999999,0.0,0.0,0.0,0,0,0.5383333333333333,0,76,0,0.0,2084,0,0.0
fashion_mnist,cut_backdoor,attacked,fedavg,2024,0.75,0.7522,0.75,0.0,0.0,0.0,0,0,0.48633333333333334,0,104,0,0.0,2056,0,0.0
