dataset,scenario,method,seed,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,floor_fpr,above_floor_fpr,asr,extra_rejections,fallback_rounds
mnist,cut_backdoor,fed_mdbscan_g,42,-0.0024999999999999467,-0.0037599999999998746,-0.0026967161977504706,0.0,,0.0,0.0,0.0,0.7596452328159645,0,0
mnist,cut_backdoor,fed_mdbscan_g,137,-0.0035000000000000586,-0.0043000000000001926,-0.0037501512564637185,0.0,,0.0,0.0,0.0,0.6702882483370288,0,0
mnist,cut_backdoor,fed_mdbscan_g,2024,-0.0018000000000000238,-0.0029799999999999827,-0.002013152664488982,0.0,,0.0,0.0,0.0,0.6994456762749446,0,0
mnist,cut_backdoor,mdbg_no_snnc_cutoff,42,-0.0024999999999999467,-0.0037599999999998746,-0.0026967161977504706,0.0,,0.0,0.0,0.0,0.7596452328159645,0,0
mnist,cut_backdoor,mdbg_no_snnc_cutoff,137,-0.0035000000000000586,-0.0043000000000001926,-0.0037501512564637185,0.0,,0.0,0.0,0.0,0.6702882483370288,0,0
mnist,cut_backdoor,mdbg_no_snnc_cutoff,2024,-0.0018000000000000238,-0.0029799999999999827,-0.002013152664488982,0.0,,0.0,0.0,0.0,0.6994456762749446,0,0
mnist,cut_backdoor,mdbg_l0_only,42,-0.0024999999999999467,-0.0037599999999998746,-0.0026967161977504706,0.0,,0.0,0.0,0.0,0.7596452328159645,0,0
mnist,cut_backdoor,mdbg_l0_only,137,-0.0035000000000000586,-0.0043000000000001926,-0.0037501512564637185,0.0,,0.0,0.0,0.0,0.6702882483370288,0,0
mnist,cut_backdoor,mdbg_l0_only,2024,-0.0018000000000000238,-0.0029799999999999827,-0.002013152664488982,0.0,,0.0,0.0,0.0,0.6994456762749446,0,0
mnist,cut_backdoor,fedavg,42,-0.0024999999999999467,-0.0037599999999998746,-0.0026967161977504706,0.0,,0.0,0.0,0.0,0.7596452328159645,0,0
mnist,cut_backdoor,fedavg,137,-0.0035000000000000586,-0.0043000000000001926,-0.0037501512564637185,0.0,,0.0,0.0,0.0,0.6702882483370288,0,0
mnist,cut_backdoor,fedavg,2024,-0.0018000000000000238,-0.0029799999999999827,-0.002013152664488982,0.0,,0.0,0.0,0.0,0.6994456762749446,0,0
fashion_mnist,cut_gaussian,fed_mdbscan_g,42,0.3941,0.36362000000000005,0.3941,-0.26935185185185184,,0.06666666666666665,-0.06441590335443942,-0.5355835455893525,,256,-4
fashion_mnist,cut_gaussian,fed_mdbscan_g,137,-0.01539999999999997,-0.01871999999999996,-0.01540000000000008,0.0,,1.0,0.0,0.0,,0,0
fashion_mnist,cut_gaussian,fed_mdbscan_g,2024,0.045299999999999896,0.038819999999999966,0.045299999999999896,-0.025277777777777774,,0.4,-0.0060312673226730375,-0.050670454809059295,,19,0
fashion_mnist,cut_gaussian,mdbg_no_snnc_cutoff,42,0.3881,0.36583999999999994,0.3881,-0.37175925925925923,,0.06666666666666665,-0.07936173247586031,-0.7425743080823284,,33,4
fashion_mnist,cut_gaussian,mdbg_no_snnc_cutoff,137,-0.01539999999999997,-0.01871999999999996,-0.01540000000000008,0.0,,1.0,0.0,0.0,,0,20
fashion_mnist,cut_gaussian,mdbg_no_snnc_cutoff,2024,0.09909999999999997,0.09083999999999992,0.09909999999999997,-0.07231481481481482,,0.4,-0.024059222702035782,-0.14404146336883245,,-2,24
