dataset,scenario,mode,seed,round,gate_reason,layer,density_gap,alert,l0_guard,l0_rejected,threshold,max_distance_over_threshold,malicious_max_distance_over_threshold,distance_auc,constraint_ratio
fashion_mnist,cut_backdoor,attacked,42,26,density_gap_without_l0_support,L0_only,1,0,False,0,0.8724463358521461,0.7215025496003276,0.5253025281908669,0.3996913580246913,
fashion_mnist,cut_backdoor,attacked,42,27,density_gap_without_l0_support,L0_only,1,0,False,0,0.8579614013433456,0.7988601661971055,0.6001328138765578,0.3618827160493827,
fashion_mnist,cut_backdoor,attacked,42,28,density_gap_without_l0_support,L0_only,1,0,False,0,0.8149270340800285,0.8460261101776226,0.5768521184697185,0.36959876543209874,
fashion_mnist,cut_backdoor,attacked,42,29,density_gap_without_l0_support,L0_only,1,0,False,0,0.8658873662352562,0.7653974466051501,0.53574305782949,0.4182098765432099,
fashion_mnist,cut_gaussian,attacked,137,0,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.9040191918611526,1050.2631485828406,1050.2631485828406,1.0,
fashion_mnist,cut_gaussian,attacked,137,1,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.80643692612648,1107.4171586696234,1107.4171586696234,1.0,
fashion_mnist,cut_gaussian,attacked,137,2,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.5719033032655716,1271.0046210566077,1271.0046210566077,1.0,
fashion_mnist,cut_gaussian,attacked,137,3,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.3539866358041763,1477.7967073501363,1477.7967073501363,1.0,
fashion_mnist,cut_gaussian,attacked,137,4,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.298731118440628,1539.5039858589796,1539.5039858589796,1.0,
fashion_mnist,cut_gaussian,attacked,137,5,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.2813922017812729,1560.9738562338523,1560.9738562338523,1.0,
fashion_mnist,cut_gaussian,attacked,137,6,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.2647461146116257,1582.8011089396343,1582.8011089396343,1.0,
fashion_mnist,cut_gaussian,attacked,137,7,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.268489509820938,1577.420154031235,1577.420154031235,1.0,
fashion_mnist,cut_gaussian,attacked,137,8,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.1321482807397842,1768.0350626309728,1768.0350626309728,1.0,
fashion_mnist,cut_gaussian,attacked,137,9,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.152583360671997,1737.5908156014798,1737.5908156014798,1.0,
fashion_mnist,cut_gaussian,attacked,137,10,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.17624182254076,1702.3652365559158,1702.3652365559158,1.0,
fashion_mnist,cut_gaussian,attacked,137,11,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.1696632206439972,1711.9917083902533,1711.9917083902533,1.0,
fashion_mnist,cut_gaussian,attacked,137,12,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0509655252099037,1903.4480237147495,1903.4480237147495,1.0,
fashion_mnist,cut_gaussian,attacked,137,13,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.1935936659574509,1676.949203362292,1676.949203362292,1.0,
fashion_mnist,cut_gaussian,attacked,137,14,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.016523838043213,1969.653712229777,1969.653712229777,1.0,
fashion_mnist,cut_gaussian,attacked,137,15,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.1913292855024338,1679.0268048076546,1679.0268048076546,1.0,
fashion_mnist,cut_gaussian,attacked,137,16,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0786692798137665,1854.5385070813268,1854.5385070813268,1.0,
fashion_mnist,cut_gaussian,attacked,137,17,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.1854451149702072,1689.4126158405231,1689.4126158405231,1.0,
fashion_mnist,cut_gaussian,attacked,137,18,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0812602192163467,1851.10244687502,1851.10244687502,1.0,
fashion_mnist,cut_gaussian,attacked,137,19,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0987342521548271,1819.0501534299117,1819.0501534299117,1.0,
fashion_mnist,cut_gaussian,attacked,137,20,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0094454512000084,1982.8688098115315,1982.8688098115315,1.0,
