dataset,scenario,mode,seed,factor,fp,tn,tp,fn,fpr,tpr
mnist,cut_gaussian,attacked,137,1.5,637,1523,540,0,0.2949074074074074,1.0
mnist,cut_gaussian,attacked,137,2.0,455,1705,540,0,0.21064814814814814,1.0
mnist,cut_gaussian,attacked,137,2.5,388,1772,540,0,0.17962962962962964,1.0
mnist,cut_gaussian,attacked,2024,1.0,810,1350,540,0,0.375,1.0
mnist,cut_gaussian,attacked,2024,1.25,498,1662,540,0,0.23055555555555557,1.0
mnist,cut_gaussian,attacked,2024,1.5,292,1868,540,0,0.13518518518518519,1.0
mnist,cut_gaussian,attacked,2024,2.0,94,2066,540,0,0.04351851851851852,1.0
mnist,cut_gaussian,attacked,2024,2.5,25,2135,540,0,0.011574074074074073,1.0
mnist,cut_gaussian,clean,42,1.0,1350,1350,0,0,0.5,
mnist,cut_gaussian,clean,42,1.25,1241,1459,0,0,0.4596296296296296,
mnist,cut_gaussian,clean,42,1.5,1197,1503,0,0,0.44333333333333336,
mnist,cut_gaussian,clean,42,2.0,1136,1564,0,0,0.42074074074074075,
mnist,cut_gaussian,clean,42,2.5,1031,1669,0,0,0.38185185185185183,
mnist,cut_gaussian,clean,137,1.0,1350,1350,0,0,0.5,
mnist,cut_gaussian,clean,137,1.25,1270,1430,0,0,0.4703703703703704,
mnist,cut_gaussian,clean,137,1.5,1216,1484,0,0,0.45037037037037037,
mnist,cut_gaussian,clean,137,2.0,1167,1533,0,0,0.43222222222222223,
mnist,cut_gaussian,clean,137,2.5,1098,1602,0,0,0.4066666666666667,
mnist,cut_gaussian,clean,2024,1.0,1350,1350,0,0,0.5,
mnist,cut_gaussian,clean,2024,1.25,1237,1463,0,0,0.45814814814814814,
mnist,cut_gaussian,clean,2024,1.5,1163,1537,0,0,0.43074074074074076,
mnist,cut_gaussian,clean,2024,2.0,861,1839,0,0,0.3188888888888889,
mnist,cut_gaussian,clean,2024,2.5,625,2075,0,0,0.23148148148148148,
mnist,cut_minmax,attacked,42,1.0,818,1342,522,18,0.3787037037037037,0.9666666666666667
mnist,cut_minmax,attacked,42,1.25,27,2133,0,540,0.0125,0.0
mnist,cut_minmax,attacked,42,1.5,0,2160,0,540,0.0,0.0
mnist,cut_minmax,attacked,42,2.0,0,2160,0,540,0.0,0.0
mnist,cut_minmax,attacked,42,2.5,0,2160,0,540,0.0,0.0
mnist,cut_minmax,attacked,137,1.0,810,1350,540,0,0.375,1.0
mnist,cut_minmax,attacked,137,1.25,670,1490,522,18,0.3101851851851852,0.9666666666666667
mnist,cut_minmax,attacked,137,1.5,224,1936,468,72,0.1037037037037037,0.8666666666666667
mnist,cut_minmax,attacked,137,2.0,0,2160,0,540,0.0,0.0
mnist,cut_minmax,attacked,137,2.5,0,2160,0,540,0.0,0.0
mnist,cut_minmax,attacked,2024,1.0,810,1350,540,0,0.375,1.0
mnist,cut_minmax,attacked,2024,1.25,11,2149,36,504,0.005092592592592593,0.06666666666666667
mnist,cut_minmax,attacked,2024,1.5,0,2160,0,540,0.0,0.0
mnist,cut_minmax,attacked,2024,2.0,0,2160,0,540,0.0,0.0
mnist,cut_minmax,attacked,2024,2.5,0,2160,0,540,0.0,0.0
mnist,cut_minmax,clean,42,1.0,1350,1350,0,0,0.5,
mnist,cut_minmax,clean,42,1.25,1241,1459,0,0,0.4596296296296296,
mnist,cut_minmax,clean,42,1.5,1197,1503,0,0,0.44333333333333336,
mnist,cut_minmax,clean,42,2.0,1136,1564,0,0,0.42074074074074075,
mnist,cut_minmax,clean,42,2.5,1031,1669,0,0,0.38185185185185183,
mnist,cut_minmax,clean,137,1.0,1350,1350,0,0,0.5,
mnist,cut_minmax,clean,137,1.25,1270,1430,0,0,0.4703703703703704,
mnist,cut_minmax,clean,137,1.5,1216,1484,0,0,0.45037037037037037,
mnist,cut_minmax,clean,137,2.0,1167,1533,0,0,0.43222222222222223,
mnist,cut_minmax,clean,137,2.5,1098,1602,0,0,0.4066666666666667,
mnist,cut_minmax,clean,2024,1.0,1350,1350,0,0,0.5,
mnist,cut_minmax,clean,2024,1.25,1237,1463,0,0,0.45814814814814814,
mnist,cut_minmax,clean,2024,1.5,1163,1537,0,0,0.43074074074074076,
mnist,cut_minmax,clean,2024,2.0,861,1839,0,0,0.3188888888888889,
mnist,cut_minmax,clean,2024,2.5,625,2075,0,0,0.23148148148148148,
