dataset,seed,round,arm,client,group,samples,stage,norm,l0_distance,l0_threshold,margin,distance_threshold_ratio,unique_examples
mnist,137,0,C,94,above,22,accepted,0.6826155781745911,0.7149263024330139,0.8916930854320526,-0.1767667829990387,0.8017627523562215,20
mnist,137,0,C,95,floor,20,accepted,0.5948238968849182,0.21828491985797882,0.8916930854320526,-0.6734081655740738,0.24479826458698298,20
mnist,137,0,C,96,floor,20,accepted,0.608881950378418,0.23431622982025146,0.8916930854320526,-0.6573768556118011,0.2627767711204333,20
mnist,137,0,C,97,above,4171,accepted,0.7413037419319153,0.8694219589233398,0.8916930854320526,-0.02227112650871277,0.9750237756997726,20
mnist,137,0,C,98,above,48,accepted,0.7305246591567993,0.88618403673172,0.8916930854320526,-0.005509048700332642,0.9938218106764131,20
mnist,137,0,C,99,above,277,accepted,0.6427360773086548,0.8307157754898071,0.8916930854320526,-0.06097730994224548,0.9316162579496732,20
mnist,137,9,A,0,floor,20,accepted,0.03710588067770004,0.04734701290726662,0.4088861495256424,-0.3615391366183758,0.11579510081766013,20
mnist,137,9,A,1,above,562,L0_rejected,1.3589658737182617,1.3457320928573608,0.4088861495256424,0.9368459433317184,3.291214667991502,160
mnist,137,9,A,2,above,422,accepted,0.1277812123298645,0.12506593763828278,0.4088861495256424,-0.2838202118873596,0.3058698314515531,160
mnist,137,9,A,3,floor,20,L0_rejected,0.6535359025001526,0.6355191469192505,0.4088861495256424,0.2266329973936081,1.554269196099036,20
mnist,137,9,A,5,floor,20,accepted,0.10900512337684631,0.11722441017627716,0.4088861495256424,-0.29166173934936523,0.28669205428521294,20
mnist,137,9,A,6,floor,20,accepted,0.046717569231987,0.05486617982387543,0.4088861495256424,-0.35401996970176697,0.13418449093354437,20
mnist,137,9,A,7,floor,20,accepted,0.08730001747608185,0.08906687796115875,0.4088861495256424,-0.31981927156448364,0.217828063054929,20
mnist,137,9,A,8,floor,20,accepted,0.06527606397867203,0.07421719282865524,0.4088861495256424,-0.33466895669698715,0.18151065501914457,20
mnist,137,9,A,9,above,1661,L0_rejected,1.3546507358551025,1.3408535718917847,0.4088861495256424,0.9319674223661423,3.2792834226528282,160
mnist,137,9,A,10,above,102,L0_rejected,1.2421648502349854,1.2282863855361938,0.4088861495256424,0.8194002360105515,3.003981394236893,102
mnist,137,9,A,11,above,380,L0_rejected,1.1018918752670288,1.0826630592346191,0.4088861495256424,0.6737769097089767,2.6478350036816845,160
mnist,137,9,A,12,floor,20,accepted,0.05341954529285431,0.06334959715604782,0.4088861495256424,-0.3455365523695946,0.1549321179735265,20
mnist,137,9,A,13,floor,20,L0_rejected,0.7044016122817993,0.6844632029533386,0.4088861495256424,0.27557705342769623,1.673970135078919,20
mnist,137,9,A,15,floor,20,accepted,0.1272825002670288,0.1352200210094452,0.4088861495256424,-0.2736661285161972,0.3307033538952514,20
mnist,137,9,A,16,above,303,L0_rejected,1.2262426614761353,1.2127996683120728,0.4088861495256424,0.8039135187864304,2.9661060168437294,160
mnist,137,9,A,18,above,1463,L0_rejected,1.2615464925765991,1.247525691986084,0.4088861495256424,0.8386395424604416,3.051034361113394,160
mnist,137,9,A,19,above,414,accepted,0.06939925253391266,0.0715559870004654,0.4088861495256424,-0.337330162525177,0.17500222759679934,160
mnist,137,9,A,20,floor,20,accepted,0.028759920969605446,0.047091469168663025,0.4088861495256424,-0.36179468035697937,0.11517012553077391,20
mnist,137,9,A,21,above,2254,L0_rejected,1.2874443531036377,1.2737947702407837,0.4088861495256424,0.8649086207151413,3.1152798198680496,160
mnist,137,9,A,23,above,195,L0_rejected,1.4190168380737305,1.405714750289917,0.4088861495256424,0.9968286007642746,3.437912367344105,160
mnist,137,9,A,25,floor,20,accepted,0.09183373302221298,0.09740602225065231,0.4088861495256424,-0.3114801272749901,0.23822284605055744,20
mnist,137,9,A,26,floor,20,accepted,0.08909191191196442,0.09362075477838516,0.4088861495256424,-0.31526539474725723,0.22896533640720432,20
mnist,137,9,A,27,floor,20,accepted,0.142653688788414,0.12796233594417572,0.4088861495256424,-0.2809238135814667,0.31295346172186944,20
mnist,137,9,A,28,above,2075,L0_rejected,1.2478132247924805,1.2348629236221313,0.4088861495256424,0.825976774096489,3.0200654266590403,160
mnist,137,9,A,29,floor,20,accepted,0.13390964269638062,0.130742147564888,0.4088861495256424,-0.2781440019607544,0.3197519596018715,20
mnist,137,9,A,30,above,573,L0_rejected,1.1024465560913086,1.0848546028137207,0.4088861495256424,0.6759684532880783,2.6531947929082063,160
mnist,137,9,A,31,above,1732,L0_rejected,1.2444736957550049,1.2268311977386475,0.4088861495256424,0.8179450482130051,3.0004224871933682,160
mnist,137,9,A,32,floor,20,accepted,0.04475965350866318,0.05653311684727669,0.4088861495256424,-0.3523530326783657,0.13826126640108002,20
