dataset,scenario,mode,seed,round,label_semantics,reference,score,auc,n,positive_n,zero_update_n,positive_median,negative_median,positive_min,positive_max,negative_min,negative_max
fashion_mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,6,negative_cosine_other_clients_mean,0.4699074074074074,90,18,0,0.08941592648159274,0.05259358312622568,-0.5903659044115301,0.6544151953491444,-0.5999498002166387,0.6538316773901469
fashion_mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,6,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,6,oracle_negative_cosine_honest_mean,0.4699074074074074,90,18,0,0.08941592648159274,0.05259358312622568,-0.5903659044115301,0.6544151953491444,-0.5999498002166387,0.6538316773901469
fashion_mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,7,top5_cosine_similarity,0.3888888888888889,90,18,0,0.9511810673516685,0.9732562955136597,0.5197220053964298,0.9880589705100478,0.5204703683190827,0.9887880294354023
fashion_mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,7,negative_cosine_other_clients_mean,0.4853395061728395,90,18,0,-0.530266675757326,-0.337923929484261,-0.7261368442408311,0.04103896286431044,-0.687970726933982,0.06035134024593155
fashion_mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,7,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,7,oracle_negative_cosine_honest_mean,0.4853395061728395,90,18,0,-0.530266675757326,-0.337923929484261,-0.7261368442408311,0.04103896286431044,-0.687970726933982,0.06035134024593155
fashion_mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,7,top5_cosine_similarity,0.371141975308642,90,18,0,0.9103548498686986,0.9308678963173111,0.40882959923684625,0.9713059144974491,0.4114930374373584,0.9845509185489686
fashion_mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,7,negative_cosine_other_clients_mean,0.5655864197530864,90,18,0,-0.025239471942418115,-0.05127481935558509,-0.14957982525344188,0.17095772632012332,-0.22473136103078473,0.1627673500910621
fashion_mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,7,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,7,oracle_negative_cosine_honest_mean,0.5655864197530864,90,18,0,-0.025239471942418115,-0.05127481935558509,-0.14957982525344188,0.17095772632012332,-0.22473136103078473,0.1627673500910621
fashion_mnist,cut_minmax,clean,2024,29,latent_assignment_not_attack,7,top5_cosine_similarity,0.45370370370370366,90,18,0,0.9303849783519722,0.929060123059585,0.5064056552996885,0.9717682383286513,0.3504469187118919,0.9773979683768246
fashion_mnist,cut_minmax,clean,2024,29,latent_assignment_not_attack,7,negative_cosine_other_clients_mean,0.49691358024691357,90,18,0,0.06376209678229064,0.0390569256161407,-0.647744408705352,0.30188636109702327,-0.6479060759200526,0.36312373222154437
fashion_mnist,cut_minmax,clean,2024,29,latent_assignment_not_attack,7,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,2024,29,latent_assignment_not_attack,7,oracle_negative_cosine_honest_mean,0.49691358024691357,90,18,0,0.06376209678229064,0.0390569256161407,-0.647744408705352,0.30188636109702327,-0.6479060759200526,0.36312373222154437
fashion_mnist,cut_minmax,clean,42,0,latent_assignment_not_attack,8,top5_cosine_similarity,0.6219135802469136,90,18,0,0.9783487475532899,0.9734632810540488,0.4863041228325925,0.987199545088575,0.1864298148607652,0.9889418730336583
fashion_mnist,cut_minmax,clean,42,0,latent_assignment_not_attack,8,negative_cosine_other_clients_mean,0.40509259259259256,90,18,0,-0.6954039641927489,-0.44036041737146625,-0.7993605973027051,0.028780284046635362,-0.885316457847913,0.07015540315194951
fashion_mnist,cut_minmax,clean,42,0,latent_assignment_not_attack,8,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,42,0,latent_assignment_not_attack,8,oracle_negative_cosine_honest_mean,0.40509259259259256,90,18,0,-0.6954039641927489,-0.44036041737146625,-0.7993605973027051,0.028780284046635362,-0.885316457847913,0.07015540315194951
fashion_mnist,cut_minmax,clean,42,9,latent_assignment_not_attack,8,top5_cosine_similarity,0.5416666666666666,90,18,0,0.904902761821375,0.8885115200144977,0.6985754447442553,0.9846807533977288,0.4626787512293927,0.9847021459596659
fashion_mnist,cut_minmax,clean,42,9,latent_assignment_not_attack,8,negative_cosine_other_clients_mean,0.6080246913580246,90,18,0,0.0778725728105029,-0.2706650550407747,-0.6843317052836364,0.6333359556066589,-0.6782016382075459,0.6507918260549341
fashion_mnist,cut_minmax,clean,42,9,latent_assignment_not_attack,8,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,42,9,latent_assignment_not_attack,8,oracle_negative_cosine_honest_mean,0.6080246913580246,90,18,0,0.0778725728105029,-0.2706650550407747,-0.6843317052836364,0.6333359556066589,-0.6782016382075459,0.6507918260549341
fashion_mnist,cut_minmax,clean,42,29,latent_assignment_not_attack,8,top5_cosine_similarity,0.4969135802469136,90,18,0,0.8735141248395197,0.861843865344075,0.6611852706898407,0.981648298724848,0.37249656728976116,0.9807114738212972
fashion_mnist,cut_minmax,clean,42,29,latent_assignment_not_attack,8,negative_cosine_other_clients_mean,0.6149691358024691,90,18,0,0.1668225940729351,-0.35731524425956934,-0.7301094801670248,0.6665233886693971,-0.7388662722361161,0.6698240738055085
fashion_mnist,cut_minmax,clean,42,29,latent_assignment_not_attack,8,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,42,29,latent_assignment_not_attack,8,oracle_negative_cosine_honest_mean,0.6149691358024691,90,18,0,0.1668225940729351,-0.35731524425956934,-0.7301094801670248,0.6665233886693971,-0.7388662722361161,0.6698240738055085
mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,9,top5_cosine_similarity,0.4837962962962963,90,18,0,0.8824524462948549,0.895541996857764,0.5326701398197721,0.9555083010898731,0.39533635198318007,0.958697274854895
mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,9,negative_cosine_other_clients_mean,0.4567901234567901,90,18,0,-0.8638359287011323,-0.8619981936151917,-0.9279019232136279,0.09447653811964297,-0.9576587028656907,0.09687689663377423
mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,9,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,9,oracle_negative_cosine_honest_mean,0.4567901234567901,90,18,0,-0.8638359287011323,-0.8619981936151917,-0.9279019232136279,0.09447653811964297,-0.9576587028656907,0.09687689663377423
mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,9,top5_cosine_similarity,0.5362654320987654,90,18,0,0.7103442377695955,0.7115827952663282,0.4956042679586993,0.9586511387889196,0.3501125494046886,0.9558061773713449
mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,9,negative_cosine_other_clients_mean,0.4506172839506173,90,18,0,-0.3603249168948257,-0.08282829026336397,-0.6311731376882884,0.5225417384081029,-0.7789315675180817,0.6244251448942935
mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,9,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,9,oracle_negative_cosine_honest_mean,0.4506172839506173,90,18,0,-0.3603249168948257,-0.08282829026336397,-0.6311731376882884,0.5225417384081029,-0.7789315675180817,0.6244251448942935
mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,9,top5_cosine_similarity,0.5200617283950617,90,18,0,0.724117809740118,0.712636300491611,0.39238934364594696,0.9847712964173881,0.35909718282091674,0.9848337271514698
mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,9,negative_cosine_other_clients_mean,0.5246913580246914,90,18,0,-0.30505461794199445,-0.22213898170619195,-0.6663857425404113,0.60181477265281,-0.7476617906327195,0.7317808861359489
mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,9,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,9,oracle_negative_cosine_honest_mean,0.5246913580246914,90,18,0,-0.30505461794199445,-0.22213898170619195,-0.6663857425404113,0.60181477265281,-0.7476617906327195,0.7317808861359489
mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,10,top5_cosine_similarity,0.5061728395061729,90,18,0,0.9049927608438798,0.8974020470687221,0.41066798042011915,0.9454201264653429,0.4085833312914189,0.9742659620871972
mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,10,negative_cosine_other_clients_mean,0.3441358024691358,90,18,0,-0.8702666644959232,-0.3006737382270015,-0.9276224443390809,0.11031496953436493,-0.9037511592189923,0.11953441805913609
mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,10,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,cut_minmax,clean,2024,0,latent_assignment_not_attack,10,oracle_negative_cosine_honest_mean,0.3441358024691358,90,18,0,-0.8702666644959232,-0.3006737382270015,-0.9276224443390809,0.11031496953436493,-0.9037511592189923,0.11953441805913609
mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,10,top5_cosine_similarity,0.27546296296296297,90,18,0,0.6750056604955992,0.8054088465022767,0.453703350911432,0.9444451168502489,0.4101981699647504,0.9806911257407714
mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,10,negative_cosine_other_clients_mean,0.6597222222222222,90,18,0,0.28774254672292837,-0.20698855481735784,-0.3799512394616469,0.6464194582185613,-0.6059131885495678,0.5812899349420773
mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,10,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,cut_minmax,clean,2024,9,latent_assignment_not_attack,10,oracle_negative_cosine_honest_mean,0.6597222222222222,90,18,0,0.28774254672292837,-0.20698855481735784,-0.3799512394616469,0.6464194582185613,-0.6059131885495678,0.5812899349420773
mnist,cut_minmax,clean,2024,29,latent_assignment_not_attack,10,top5_cosine_similarity,0.33719135802469136,90,18,0,0.6289343465944939,0.7304172501227872,0.46437538545616874,0.8952779344276867,0.28980361202996835,0.9624594743959864
mnist,cut_minmax,clean,2024,29,latent_assignment_not_attack,10,negative_cosine_other_clients_mean,0.5902777777777777,90,18,0,0.24515356548972014,-0.029615062325976545,-0.4870272767058503,0.4410896644394092,-0.6513561398504482,0.5221587358145915
mnist,cut_minmax,clean,2024,29,latent_assignment_not_attack,10,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
