reference,dataset,scenario,mode,seed,round,alpha,auc,honest_min,honest_max,honest_median,attacker_min,attacker_max,attacker_median,duplicate_honest,duplicate_attackers,constraint_bound,max_constraint_ratio,strict_violations,tolerance_violations,attackers
7,fashion_mnist,cut_minmax,clean,2024,0,0.0,,0.5197220053964298,0.9887880294354023,0.9712360194187108,,,,0,0,,,,,0
7,fashion_mnist,cut_minmax,clean,2024,9,0.0,,0.40882959923684625,0.9845509185489686,0.9276583152899324,,,,0,0,,,,,0
7,fashion_mnist,cut_minmax,clean,2024,29,0.0,,0.3504469187118919,0.9773979683768246,0.929060123059585,,,,0,0,,,,,0
8,fashion_mnist,cut_minmax,clean,42,0,0.0,,0.1864298148607652,0.9889418730336583,0.9750745661040194,,,,0,0,,,,,0
8,fashion_mnist,cut_minmax,clean,42,9,0.0,,0.4626787512293927,0.9847021459596659,0.8910904296512859,,,,0,0,,,,,0
8,fashion_mnist,cut_minmax,clean,42,29,0.0,,0.37249656728976116,0.981648298724848,0.8630369577153544,,,,0,0,,,,,0
9,mnist,cut_minmax,clean,137,0,0.0,,0.39533635198318007,0.958697274854895,0.8935018205666891,,,,0,0,,,,,0
9,mnist,cut_minmax,clean,137,9,0.0,,0.3501125494046886,0.9586511387889196,0.7113434558763003,,,,0,0,,,,,0
9,mnist,cut_minmax,clean,137,29,0.0,,0.35909718282091674,0.9848337271514698,0.7158371201065441,,,,0,0,,,,,0
10,mnist,cut_minmax,clean,2024,0,0.0,,0.4085833312914189,0.9742659620871972,0.9007263230571158,,,,0,0,,,,,0
10,mnist,cut_minmax,clean,2024,9,0.0,,0.4101981699647504,0.9806911257407714,0.7695151933427612,,,,0,0,,,,,0
10,mnist,cut_minmax,clean,2024,29,0.0,,0.28980361202996835,0.9624594743959864,0.7034029605685959,,,,0,0,,,,,0
11,mnist,cut_minmax,clean,42,0,0.0,,0.3889475713207914,0.983864515664564,0.9014996233171768,,,,0,0,,,,,0
11,mnist,cut_minmax,clean,42,9,0.0,,0.30734437306594203,0.9808228411398447,0.7353666175710891,,,,0,0,,,,,0
11,mnist,cut_minmax,clean,42,29,0.0,,0.20480539427617597,0.9785210912492047,0.7360180161688782,,,,0,0,,,,,0
12,fashion_mnist,cut_backdoor,attacked,137,0,0.0,0.30632716049382713,0.5114012167829945,0.9590852296979302,0.8129292742814956,0.6358176008223173,0.8768125508942719,0.7295767124581323,0,0,,,,,18
12,fashion_mnist,cut_backdoor,attacked,137,9,0.0,0.2646604938271605,0.5372314954214794,0.9015293677328755,0.7550769604775196,0.42230020062072066,0.8248404119799944,0.6720572710182082,0,0,,,,,18
12,fashion_mnist,cut_backdoor,attacked,137,29,0.0,0.30246913580246915,0.3796740080826918,0.8808776944757245,0.7376210389083304,0.44729895621408416,0.8385348227495824,0.6541026333651563,0,0,,,,,18
13,fashion_mnist,cut_backdoor,attacked,2024,0,0.0,0.4220679012345679,0.6076191156388211,0.9448928012441892,0.8632279836929377,0.6181913367419922,0.9481319314795428,0.8406087099831197,0,0,,,,,18
