reference,dataset,scenario,mode,seed,round,alpha,threshold,tp,fp,honest_n,attacker_n,floor_fp,floor_n,above_fp,above_n
0,fashion_mnist,cut_minmax,attacked,137,9,1e-06,0.9999,18,0,72,18,0,43,0,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.0001,0.95,18,31,72,18,22,43,9,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.0001,0.99,18,1,72,18,0,43,1,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.0001,0.999,18,0,72,18,0,43,0,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.0001,0.9999,18,0,72,18,0,43,0,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.01,0.95,18,31,72,18,22,43,9,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.01,0.99,18,1,72,18,0,43,1,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.01,0.999,18,0,72,18,0,43,0,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.01,0.9999,18,0,72,18,0,43,0,29
0,fashion_mnist,cut_minmax,attacked,137,29,0.0,0.95,18,31,72,18,22,42,9,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.0,0.99,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.0,0.999,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.0,0.9999,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,1e-06,0.95,18,31,72,18,22,42,9,30
0,fashion_mnist,cut_minmax,attacked,137,29,1e-06,0.99,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,1e-06,0.999,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,1e-06,0.9999,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.0001,0.95,18,31,72,18,22,42,9,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.0001,0.99,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.0001,0.999,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.0001,0.9999,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.01,0.95,18,31,72,18,22,42,9,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.01,0.99,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.01,0.999,18,0,72,18,0,42,0,30
0,fashion_mnist,cut_minmax,attacked,137,29,0.01,0.9999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0,0.95,18,48,72,18,33,41,15,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0,0.99,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0,0.999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0,0.9999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,1e-06,0.95,18,48,72,18,33,41,15,31
1,fashion_mnist,cut_minmax,attacked,2024,0,1e-06,0.99,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,1e-06,0.999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,1e-06,0.9999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0001,0.95,18,48,72,18,33,41,15,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0001,0.99,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0001,0.999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0001,0.9999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.01,0.95,18,48,72,18,33,41,15,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.01,0.99,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.01,0.999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,0,0.01,0.9999,18,0,72,18,0,41,0,31
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0,0.95,18,42,72,18,34,47,8,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0,0.99,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0,0.999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0,0.9999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,1e-06,0.95,18,42,72,18,34,47,8,25
1,fashion_mnist,cut_minmax,attacked,2024,9,1e-06,0.99,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,1e-06,0.999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,1e-06,0.9999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0001,0.95,18,42,72,18,34,47,8,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0001,0.99,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0001,0.999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0001,0.9999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.01,0.95,18,42,72,18,34,47,8,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.01,0.99,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.01,0.999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,9,0.01,0.9999,18,0,72,18,0,47,0,25
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0,0.95,18,46,72,18,31,42,15,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0,0.99,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0,0.999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0,0.9999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,1e-06,0.95,18,46,72,18,31,42,15,30
1,fashion_mnist,cut_minmax,attacked,2024,29,1e-06,0.99,18,0,72,18,0,42,0,30
