ref,round,root,variant,clients,cosine_max_gap,trust_max_gap,weight_max_gap,scaled_norm_max_gap,aggregate_max_gap,aggregate_relative_gap,aggregate_cosine,zero_trust_clients,clients_the_local_rule_removes
ref_04,9,cohort_mean,fltrust,90,1.3248765057261025e-06,5.184610661901345e-07,5.8471627175510354e-09,0.0025808268188495243,4.1027468446891424e-08,4.467605765802897e-07,0.9999999999998999,64,64
ref_04,9,small,fltrust_normalized,90,1.3273705408156644e-06,5.222078505173755e-07,5.847162713214227e-09,2.7532931490270585e-10,1.4780209283034307e-10,1.0032675509593765e-08,1.0,64,64
ref_04,9,small,fltrust,90,1.3273705408156644e-06,5.222078505173755e-07,5.847162713214227e-09,2.7532931490270585e-10,1.4780209283034307e-10,1.0032675509593765e-08,1.0,64,64
ref_04,9,large,fltrust_normalized,90,1.324317587481083e-06,5.176214047386551e-07,5.84716271494895e-09,2.4649609020599428e-09,1.3232384944716902e-09,1.003267560720034e-08,0.9999999999999999,64,64
ref_04,9,large,fltrust,90,1.324317587481083e-06,5.176214047386551e-07,5.84716271494895e-09,1.0305243442388154,0.10036203010897064,0.5664463168029363,0.9999996539441475,64,64
ref_04,9,unrelated,fltrust_normalized,90,4.90721298665453e-09,2.919881514958783e-09,3.03027810864831e-08,1.7106518424014894e-09,8.542045890069794e-09,2.789604021451376e-07,0.9999999999999803,47,47
ref_04,9,unrelated,fltrust,90,4.90721298665453e-09,2.919881514958783e-09,3.03027810864831e-08,0.2933039424489223,0.0011570335446440053,0.036409757522975456,0.9995355402600379,47,47
ref_04,29,cohort_mean,fltrust_normalized,90,1.267516545833125e-06,4.978512402331603e-08,2.070703584294842e-09,1.0029714836434778e-09,2.0117197491176242e-10,3.78159823932527e-09,1.0,61,61
ref_04,29,cohort_mean,fltrust,90,1.267516545833125e-06,4.978512402331603e-08,2.070703584294842e-09,0.0020677609351144044,2.7914943814127957e-07,3.3460190934055407e-06,0.9999999999944048,61,61
ref_04,29,small,fltrust_normalized,90,1.2706561006714523e-06,5.3855815695946774e-08,2.0707035851622035e-09,2.611094673810044e-10,5.2372283810067644e-11,3.781598173679747e-09,0.9999999999999998,61,61
ref_04,29,small,fltrust,90,1.2706561006714523e-06,5.3855815695946774e-08,2.0707035851622035e-09,2.611094673810044e-10,5.2372283810067644e-11,3.781598173679747e-09,0.9999999999999998,61,61
ref_04,29,large,fltrust_normalized,90,1.2668537454629814e-06,4.8925749007722175e-08,2.0707035886316505e-09,2.5062494302119376e-09,5.026933383445176e-10,3.781598347694192e-09,1.0000000000000002,61,61
ref_04,29,large,fltrust,90,1.2668537454629814e-06,4.8925749007722175e-08,2.0707035886316505e-09,1.0481910739941578,0.10688044463911657,0.5546862588710657,0.9999996215584603,61,61
ref_04,29,unrelated,fltrust_normalized,90,5.560156174453518e-09,5.560156174453518e-09,6.799038444055272e-08,1.9205957935142237e-09,9.460661684612681e-09,2.503038647621008e-07,0.9999999999999732,51,51
