method,dataset,scenario,seed,pair_matched,attackers,arm,clients,marked,auc_rel_mean,rho_rel_mean_samples,rho_rel_mean_steps,auc_lag1,oriented_lag1,rho_lag1_samples,rho_lag1_steps,auc_rel_cv,twosided_rel_cv,rho_rel_cv_samples,rho_rel_cv_steps,auc_trend,twosided_trend,rho_trend_samples,rho_trend_steps
fed_mdbscan_g,fashion_mnist,gaussian,42,True,18,attacked,100,18,1.0,0.44677342110226864,,0.9505420054200542,0.0494579945799458,0.1656717575190642,,0.36449864498644985,0.13550135501355015,-0.57816920469701,,0.9878048780487805,0.4878048780487805,0.2256498641726529,
fed_mdbscan_g,fashion_mnist,gaussian,42,True,18,placebo,100,18,0.40447154471544716,0.7073444378799301,,0.5348915989159891,0.46510840108401086,-0.13476046176347248,,0.5691056910569106,0.06910569105691056,-0.050451434059061266,,0.3800813008130081,0.11991869918699188,0.5996909941091293,
fed_mdbscan_g,fashion_mnist,gaussian,137,True,18,attacked,100,18,1.0,0.40041889130087716,,0.7073170731707317,0.2926829268292683,0.25247123919506737,,0.4640921409214092,0.03590785907859079,-0.2371425838505362,,0.9681571815718157,0.46815718157181574,-0.03198776588504255,
fed_mdbscan_g,fashion_mnist,gaussian,137,True,18,placebo,100,18,0.6388888888888888,0.5920003492153277,,0.5508130081300813,0.4491869918699187,0.424023395066316,,0.35636856368563685,0.14363143631436315,-0.052918324780726604,,0.6144986449864499,0.1144986449864499,-0.01514918670954786,
fed_mdbscan_g,fashion_mnist,gaussian,2024,True,18,attacked,100,18,1.0,0.3716273096118275,,0.9512195121951219,0.04878048780487805,0.01708159232264547,,0.5609756097560976,0.060975609756097615,0.1135117516320455,,0.9878048780487805,0.4878048780487805,0.20886598849880342,
fed_mdbscan_g,fashion_mnist,gaussian,2024,True,18,placebo,100,18,0.49796747967479676,0.5406412251761985,,0.5508130081300813,0.4491869918699187,0.10793475179196596,,0.5060975609756098,0.0060975609756097615,0.15107567039601136,,0.5271002710027101,0.027100271002710064,0.2660579921835287,
fed_mdbscan_g,fashion_mnist,backdoor,42,True,18,attacked,100,18,0.3346883468834688,-0.05540487021986584,,0.502710027100271,0.497289972899729,-0.12943004936340155,,0.4275067750677507,0.0724932249322493,0.09859822620844966,,0.6639566395663956,0.1639566395663956,-0.07164631403243243,
fed_mdbscan_g,fashion_mnist,backdoor,42,True,18,placebo,100,18,0.491869918699187,0.0009721205432273657,,0.4363143631436314,0.5636856368563685,-0.1097356072469064,,0.48577235772357724,0.014227642276422758,0.09711604241723262,,0.5589430894308943,0.058943089430894324,-0.10013441669651266,
fed_mdbscan_g,fashion_mnist,backdoor,137,True,18,attacked,100,18,0.38482384823848237,0.012295746006779351,,0.5555555555555556,0.4444444444444444,-0.003966563255481284,,0.6260162601626016,0.1260162601626016,0.04516241310249946,,0.7052845528455285,0.2052845528455285,0.1466132590340755,
fed_mdbscan_g,fashion_mnist,backdoor,137,True,18,placebo,100,18,0.5670731707317073,0.04814483660926829,,0.5630081300813008,0.4369918699186992,-0.032938677321235656,,0.6043360433604336,0.10433604336043356,0.06340500356643759,,0.6199186991869918,0.11991869918699183,0.1637272494138447,
fed_mdbscan_g,fashion_mnist,backdoor,2024,True,18,attacked,100,18,0.47764227642276424,-0.08147601408564488,,0.44308943089430897,0.556910569105691,-0.13160382055273512,,0.5941734417344173,0.09417344173441733,0.08573074591054893,,0.7100271002710027,0.2100271002710027,-0.12663978237087456,
fed_mdbscan_g,fashion_mnist,backdoor,2024,True,18,placebo,100,18,0.6077235772357723,-0.1131254578720256,,0.47696476964769646,0.5230352303523035,-0.18591197734206957,,0.4749322493224932,0.025067750677506773,0.19309521287720374,,0.559620596205962,0.05962059620596205,-0.050246642552780774,
