reference,mode,dataset,scenario,seed,round,gate,cutoff,fp,tp,honest_count,malicious_count,fpr,tpr,layer,fallback,natural_clusters,rejected_clusters,attack_gate
10,cutoff_clean,mnist,scenario_cut_minmax,2024,29,original,False,21,0,90,0,0.23333333333333334,,L0+L2_SNNC,False,1,0,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,29,density_only,True,23,0,90,0,0.25555555555555554,,L0+L2_SNNC,False,2,1,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,29,density_only,False,21,0,90,0,0.23333333333333334,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,0,original,True,0,0,90,0,0.0,,L0_only,False,0,0,False
11,cutoff_clean,mnist,scenario_cut_minmax,42,0,original,False,0,0,90,0,0.0,,L0_only,False,0,0,False
11,cutoff_clean,mnist,scenario_cut_minmax,42,0,density_only,True,0,0,90,0,0.0,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,0,density_only,False,0,0,90,0,0.0,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,9,original,True,39,0,90,0,0.43333333333333335,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,9,original,False,39,0,90,0,0.43333333333333335,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,9,density_only,True,39,0,90,0,0.43333333333333335,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,9,density_only,False,39,0,90,0,0.43333333333333335,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,29,original,True,38,0,90,0,0.4222222222222222,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,29,original,False,38,0,90,0,0.4222222222222222,,L3_safety_fallback_L0,True,1,1,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,29,density_only,True,38,0,90,0,0.4222222222222222,,L0+L2_SNNC,False,1,0,True
11,cutoff_clean,mnist,scenario_cut_minmax,42,29,density_only,False,38,0,90,0,0.4222222222222222,,L3_safety_fallback_L0,True,1,1,True
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,0,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,0,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,0,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,0,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,9,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,9,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,9,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,9,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,29,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,29,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,29,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,5,0,True
12,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,137,29,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,0,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,0,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,0,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,0,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,9,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,9,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,9,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,9,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,29,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,29,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,29,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
13,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,2024,29,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,0,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,0,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,0,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,5,0,True
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,0,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,9,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,9,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,9,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,9,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,29,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,29,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,29,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,12,0,True
14,cutoff_attacked,fashion_mnist,scenario_cut_backdoor,42,29,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,0,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,0,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,0,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,0,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,9,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,9,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,9,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,11,0,True
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,9,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,29,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,29,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,29,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,2,0,True
15,cutoff_attacked,mnist,scenario_cut_backdoor,137,29,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
16,cutoff_attacked,mnist,scenario_cut_backdoor,2024,0,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
16,cutoff_attacked,mnist,scenario_cut_backdoor,2024,0,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
